external_gene_name,T_Penn_3,T_Penn_6,T_Penn_8,T_Penn_9,T_Penn_14,T_Penn_16,T_Penn_27,PT_Penn_15,PT_Penn_17,PT_Penn_18,PT_Penn_24,PT_Penn_25,PT_Penn_28,PT_Penn_4,PT_Penn_10
ALDH1L1,0,0,3,6,0,0,0,0,2,1,0,1,0,0,0
SLC35G2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
USP31,1,15,5,5,8,7,2,2,1,4,1,27,0,2,147
RP11-407N17.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RP11-365F18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD-2014E2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNFT1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMPR1A,0,2,0,4,0,3,0,0,0,0,0,2,0,0,7
NPIPB11,0,3,3,5,0,8,2,1,0,0,0,3,0,0,60
RP11-167H9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIMP1,13,240,15,71,6,60,11,43,67,77,24,240,2,17,779
CTC-398G3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RILPL2,17,741,83,57,39,69,32,39,110,50,33,172,8,18,320
MRPL36,1,6,7,8,14,2,0,1,4,1,0,1,0,0,15
RPL7,219,554,509,701,587,564,22,359,262,306,39,258,9,91,1285
RP11-327O17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTB-31N19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL10RA,2,33,27,25,9,93,3,16,16,22,2,41,0,1,422
NCKAP1,0,99,19,19,14,24,3,15,20,48,7,127,1,4,543
RP11-190D6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNASEH2CP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-217B7.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MTHFD2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-537K23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUTYH,0,0,1,11,2,2,0,2,1,0,0,7,0,0,24
RFPL4AP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-556H2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POLR3KP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNX31,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DPP10,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0
TNFAIP1,2,4,4,16,8,11,0,6,1,12,0,14,0,4,15
CTD-2265O21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL36AP35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPSR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-283I3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNM1P30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUP54,8,34,13,31,10,41,1,20,14,13,0,7,0,14,114
GUCY2EP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-42A4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAV12-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GS1-388B5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-108K3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMCN2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
CTC-312O10.2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
CSMD3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
MYO19,0,2,3,3,0,0,0,2,2,0,0,0,0,0,28
LINC01273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHEJ1,0,2,1,0,0,2,0,0,0,1,0,0,0,0,1
RP11-158M2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RP3-408N23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAOX,0,0,13,0,0,0,0,0,0,1,0,3,0,0,16
CD99L2,1,12,11,43,7,34,2,9,10,7,4,19,0,0,81
RP11-168C9.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
RP11-216P6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD-2007F2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRYM-AS1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
PI4KA,6,52,53,52,20,107,6,13,16,15,1,72,0,2,338
C11orf49,0,4,2,5,0,4,0,4,0,0,0,3,0,3,29
RPL7P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-214K3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-281J9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGAT4EP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
C20orf196,0,6,0,0,1,1,1,0,2,0,5,1,0,0,5
CTD-2284J15.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DISP1,1,0,0,0,1,2,0,0,2,1,0,0,0,0,4
CTD-3074O7.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PGAM1P10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAGEB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC114730.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC128677.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RP11-1059L18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCP,35,160,70,124,84,147,8,50,45,76,9,104,1,14,422
RP11-815J21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SETDB1,6,26,22,19,11,48,7,13,4,10,3,33,2,0,134
RP11-1060G2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRT18P7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC004754.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCUN1D4,4,42,5,29,21,7,0,9,11,9,4,16,4,9,82
MFSD2A,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3
RP11-611L7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RWDD4P2,0,0,0,3,1,0,0,0,0,1,0,0,0,0,3
RP11-632K21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FANCD2,1,6,8,5,15,18,0,3,1,2,1,9,0,0,35
CICP22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHLH1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
AC140725.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-143E21.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTNND2,0,0,0,2,0,0,0,0,1,0,3,4,0,0,1
GS1-251I9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP13-297E16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP13-297E16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCER1G,10,385,59,130,27,78,6,72,143,134,20,243,1,4,746
SDCBPP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD1D,1,7,0,4,0,1,1,0,1,3,1,6,0,0,65
RP11-15H20.6,0,0,0,0,1,12,0,2,0,0,0,0,0,0,12
CH507-210P18.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PNPT1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RP5-1112D6.7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3
LINC01523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPDHP61,0,1,0,1,0,2,0,0,0,0,0,0,0,0,2
RP11-27M24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-135A24.4,0,0,0,0,1,1,1,0,0,1,0,0,0,0,4
CTD-2588E21.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RP11-6F2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-584P21.2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
MXRA8,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
SULT1A2,0,1,0,0,4,5,1,0,1,0,0,1,0,0,0
SNHG22,0,3,1,6,0,129,3,2,17,0,4,25,0,0,103
GTPBP8,1,9,3,8,2,8,0,2,1,0,0,3,0,0,13
CTC-204F22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SOX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-271F18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDX5,107,1575,363,471,227,1141,43,177,404,301,49,538,12,58,2467
RP4-620E11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP3-425C14.4,0,16,0,0,0,1,0,1,1,3,0,2,0,0,11
KB-1125A3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-284P20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1QTNF1-AS1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RP11-155D18.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C1orf137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTA-268H5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U73166.2,0,0,1,0,0,2,0,0,0,0,0,8,0,0,3
PIP4K2C,0,16,5,6,0,0,0,1,7,3,0,6,0,0,12
TRAF3IP2-AS1,0,0,1,2,0,8,0,4,1,0,0,2,0,0,25
CTDSP1,6,34,54,66,50,32,0,18,28,21,5,127,1,4,290
CTB-186G2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC092170.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTA-992D9.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RP11-503C24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM86MP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IDO2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LINC00583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-693M11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP26B1,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0
MAP1LC3B,30,503,97,206,102,151,5,61,165,139,56,359,12,37,980
GRK4,0,2,5,6,0,3,1,0,5,3,2,0,2,0,41
CTD-3244O18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRDX2P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C14orf169,0,5,3,9,0,9,0,2,5,0,1,4,0,2,15
LINC00644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPDHP69,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
DCHS1,0,0,0,1,0,5,1,2,0,1,0,4,0,0,6
TCEB1P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSMP,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD-2568P8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTMT1,0,3,2,3,6,5,0,1,1,4,0,1,0,0,15
UBA6,2,16,11,23,5,42,0,4,5,9,1,15,1,2,139
AMD1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM89B,0,3,7,21,2,3,2,3,3,2,0,7,0,13,35
TMEM104,1,19,2,2,2,8,0,0,2,1,0,4,0,0,53
TMEFF2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
STKLD1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
AC092641.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TCEB2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTUS2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
CTB-60B18.18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PARVB,6,499,34,53,54,25,12,30,57,47,29,202,2,14,946
FGD4,6,96,43,64,24,23,2,17,38,39,5,54,1,2,415
SYNPO,109,139,235,340,154,76,4,262,75,90,2,208,4,52,527
SAMD11P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASF1A,3,3,2,2,4,8,0,5,4,2,0,2,0,0,21
RP11-90P16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIRC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LYPLA1P3,4,0,0,1,1,0,0,0,1,1,0,0,0,0,1
DPRXP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-5A1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1-65P5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZIC2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D21S2088E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-559M23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,0,14,9,7,4,8,0,2,8,7,0,4,0,2,50
RP11-347C12.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-346C20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OAZ3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RP11-160E2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PSMA6P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISCA1P6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
RP3-467L1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MCM5,4,22,39,57,37,34,1,9,2,5,4,22,0,5,116
RP11-10J21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-61I13.3,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0
MPZL3,1,20,18,16,7,23,1,6,11,7,0,65,0,0,85
REEP6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5
RP11-19J3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-154H12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007040.11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RP11-864I4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-620J15.3,7,14,7,10,9,11,1,0,0,1,0,2,0,0,14
RP11-93O14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGHVII-31-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRBV16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-609L3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSPB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-20G6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STON1,5,1,1,0,0,5,2,1,1,7,1,11,0,0,21
KDM4D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR10A7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-240G22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THBS4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
CASC19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF13-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD-2373J6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-483E23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MORF4L1P6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-352M15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLZF1,9,16,10,26,9,9,5,10,15,12,4,35,0,3,71
NRBP2,0,6,0,2,0,8,4,1,1,2,0,2,0,0,28
RP11-252M21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS12P23,0,1,2,1,0,0,0,0,4,0,0,4,0,0,0
FOLH1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC25A37,368,1377,1034,2101,1377,1154,20,360,617,507,67,1093,18,225,1287
RP1-309K20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR2AT2P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC063976.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NARF,5,125,38,50,32,85,2,7,47,25,7,64,1,8,138
CASC22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRY,3,52,23,17,12,18,2,17,27,20,3,33,0,5,231
HMGB1P11,0,5,1,0,0,1,0,0,1,0,1,0,0,0,1
CTD-2314G24.2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
ANXA4,5,23,22,30,18,16,2,17,13,18,1,21,0,2,111
TBCEL,25,13,34,58,37,37,0,21,7,17,1,46,2,10,108
ZBED9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-789C17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC062016.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U47924.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AL049758.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-977G19.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOXD3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SLC25A35,0,0,0,2,1,1,0,1,1,2,0,2,0,0,6
RP11-13A1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD50,0,8,4,22,9,0,0,3,2,13,0,8,0,2,100
DLX5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AC079305.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLA3P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-4O3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHKB,11,142,43,100,44,96,14,23,68,71,10,153,3,13,982
AIDA,9,31,42,71,20,37,1,13,4,12,2,18,0,1,111
MURC,0,1,0,1,0,0,0,0,1,2,0,1,0,0,4
CLDN18,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0
RP11-502M1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTXN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-555K12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TVP23A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
GAPDHP49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-96L7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL7P13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SYDE1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1
IGHV2-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDPF1,1,0,1,2,0,1,0,1,0,0,0,0,0,1,4
ABCD1P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-871F6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNAJC6,5,14,2,28,17,36,0,3,9,12,1,26,0,1,113
RP11-606D9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBX3,3,19,14,20,3,15,0,5,6,11,3,12,0,2,99
KIAA0141,5,3,13,29,10,33,0,2,5,6,0,20,0,0,101
GLRX,10,64,76,47,82,71,2,22,30,24,11,28,0,2,152
RP11-337N6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-93B21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTCO1P19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCDC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR9G4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLA1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBE2Q2,18,218,50,181,87,87,4,66,96,145,32,141,9,35,694
HNRNPA1P19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-61J19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PKD1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-649A18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL0XNC01-250H12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-169I9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C14orf166,15,49,41,83,79,83,5,50,27,45,10,69,0,6,234
RP11-567M16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIF2B5-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROS1,1,344,6,29,1,21,2,4,24,20,5,101,1,0,850
SNRPD1,11,35,42,59,75,41,0,19,35,16,0,25,0,3,79
CPS1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3
RPS27P22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008132.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFD1P7Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR52P2P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-315O6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGHD4OR15-4A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRKCB,175,1450,602,621,318,928,327,496,490,441,241,925,166,211,2912
RP11-444E17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-575N6.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CITF22-49E9.3,0,1,0,0,0,1,0,1,0,0,0,6,0,0,5
AC006116.20,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
RP11-451H23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGBP1P1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
RP11-552E4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-463C8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-463J7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC24C,12,30,7,40,25,67,2,26,24,9,5,40,1,8,201
FAM27AP1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ACP1,22,76,42,108,63,82,0,29,25,40,9,89,1,11,273
NEDD9,33,168,113,73,65,92,7,50,53,36,3,83,0,13,403
TRIM56,12,17,29,25,24,43,2,8,6,8,2,58,7,5,83
RP11-12A20.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-147G16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUDT19,3,5,4,16,0,13,0,2,6,1,0,7,0,1,32
RNFT1P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMARCA5-AS1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,2
AC092839.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BANF1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC092684.1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
RP11-989E6.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CTD-2269E23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1-315G1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1QC,0,15,4,40,7,17,0,4,6,5,0,14,0,0,99
OR13C8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENOX1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CTD-2026K11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TET2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-340E6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USP9YP9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-159K7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-360P21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC093818.1,0,25,9,10,0,25,2,0,19,9,5,50,4,1,107
ELP2,4,11,6,20,21,39,3,8,6,2,0,11,0,3,99
THADA,1,6,11,8,16,53,2,7,2,0,4,22,0,0,115
RP11-83B20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF468,1,1,0,8,9,8,0,7,2,3,0,1,0,4,24
